feature,mean_abs_shap
LDA_03,0.01283073091203033
LDA_00,0.012370685620581141
self_reference_avg_sharess,0.01220245937140624
num_hrefs,0.011828444501640712
kw_avg_avg,0.011648626688805794
kw_max_avg,0.011087402498970679
self_reference_min_shares,0.010167239128719288
kw_min_avg,0.009422526331420508
LDA_04,0.009319580289513326
kw_min_max,0.009165715792575673
kw_avg_max,0.008793957867822461
kw_avg_min,0.008696577033929707
LDA_02,0.008460019633842774
num_self_hrefs,0.007474393648795165
global_subjectivity,0.007319248589742388
avg_positive_polarity,0.007113971419209513
min_negative_polarity,0.0070995770788481825
avg_negative_polarity,0.006987414909777536
self_reference_max_shares,0.006639211626885221
rate_positive_words,0.0064185671820580475
title_sentiment_polarity,0.006284182702631123
global_sentiment_polarity,0.006130779335242211
title_subjectivity,0.005696884260954748
rate_negative_words,0.00559939740847227
kw_max_min,0.005378929232178993
max_positive_polarity,0.005294343061614173
global_rate_positive_words,0.005095455923947968
data_channel_is_bus,0.004643807505237417
global_rate_negative_words,0.004412491307763818
abs_title_subjectivity,0.0037372313950179534
LDA_01,0.003662730121630764
abs_title_sentiment_polarity,0.003621195352117219
max_negative_polarity,0.0032364908604629863
num_imgs,0.003167519316376854
num_videos,0.0030112445049553004
kw_min_min,0.0022436912016104023
min_positive_polarity,0.0020985086319627237
data_channel_is_entertainment,0.0019521507050352044
data_channel_is_world,0.0016646046099246731
data_channel_is_socmed,0.0014448842902403396
kw_max_max,0.0012069492966478507
data_channel_is_lifestyle,0.001153920325101429
data_channel_is_tech,0.000603611465258217
